cod_qc,nombre,lat,lon,altitud_oficial,dept,sector,umbral_pp,umbral_t,radio_pp,radio_t,delta_z,clase_diagnostico,area_pp_km2,radio_pp_km,n_px_pp,area_temp_km2,radio_temp_km,n_px_temp
qc472A571A,HUALLAPE,-5.45077,-78.69579,409,CAJAMARCA,SIERRA NORTE ORIENTAL,100,200,12,25,19.0,Consistente,96.2136,5.534,106904,521.244,12.881,579160
qc4725E206,SAN MARCOS,-7.32249,-78.17269,2293,CAJAMARCA,SIERRA NORTE ORIENTAL,100,200,12,25,6.04248046875,Consistente,50.5665,4.012,56185,272.4813,9.313,302757
qc00106046,REQUE,-6.88613,-79.8355,13,LAMBAYEQUE,COSTA NORTE,80,150,70,120,-0.2443885803222656,Consistente,9259.9371,54.291,10288819,22975.2279,85.517,25528031
qc4726E508,YONAN GORE,-7.25592,-79.09909,457,CAJAMARCA,COSTA NORTE,80,150,70,120,17.338653564453125,Consistente,848.52,16.434,942800,2479.9464,28.096,2755496
qc00108045,CACHICADAN,-8.09184,-78.14938,2900,LA LIBERTAD,SIERRA NORTE OCCIDENTAL,100,200,15,30,19.9375,Consistente,66.6333,4.605,74037,280.3104,9.446,311456
qc00111095,RICRAN,-11.54,-75.5273,3667,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,9.5400390625,Consistente,28.3518,3.004,31502,300.8277,9.786,334253
qc00108001,SALPO,-8.00535,-78.6071,3418,LA LIBERTAD,SIERRA NORTE OCCIDENTAL,100,200,15,30,-2.973876953125,Consistente,126.0936,6.335,140104,727.4394,15.217,808266
qc00250103,SAN ALEJANDRO,-8.83091,-75.21281,203,UCAYALI,SELVA CENTRAL BAJA,100,200,40,80,7.0,Consistente,4455.1296,37.658,4950144,16296.8166,72.024,18107574
qc00114006,RIO GRANDE,-14.52648,-75.21306,325,ICA,COSTA SUR,80,150,70,120,2.53729248046875,Consistente,1724.3073,23.428,1915897,5529.5244,41.954,6143916
qc47E3055E,CHANCAY BAÑOS,-6.57489,-78.86721,1639,CAJAMARCA,SIERRA NORTE OCCIDENTAL,100,200,15,30,3.822021484375,Consistente,60.9759,4.406,67751,278.7876,9.42,309764
qc00114066,PAMPA BLANCA,-14.23731,-75.10407,1020,ICA,SIERRA CENTRAL OCCIDENTAL,100,200,12,25,-4.2607421875,Consistente,19.0602,2.463,21178,157.9545,7.091,175505
qc00203601,LETRAYOC,-13.65773,-75.74496,756,ICA,COSTA SUR,80,150,70,120,82.7308349609375,Discrepancia leve,410.4045,11.43,456005,2304.1206,27.082,2560134
qc00100046,HACIENDA BERNALES,-13.74114,-75.96641,293,ICA,COSTA SUR,80,150,70,120,2.051544189453125,Consistente,1139.427,19.044,1266030,4343.6259,37.184,4826251
qc00112083,SANTA ANA,-12.00955,-75.22158,3289,JUNIN,SIERRA CENTRAL ORIENTAL,100,200,10,20,-1.361572265625,Consistente,167.9508,7.312,186612,509.6169,12.736,566241
