cod_qc,nombre,lat,lon,altitud_oficial,altitud_dem,delta_z,clase_diagnostico,dept,fuente,sector,cod_sector,umbral_pp,umbral_t,radio_pp,radio_t
qc4726C3E4,CHOTA,-6.55405,-78.67588,2261,2255.5087890625,5.4912109375,Consistente,CAJAMARCA,maestra,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc47E94706,HUAMBOS,-6.45364,-78.96319,2263,2263.27294921875,-0.27294921875,Consistente,CAJAMARCA,maestra,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc47E1D6C2,PUENTE SAN CARLOS,-6.61515,-79.27136,334,349.695068359375,-15.695068359375,Consistente,CAJAMARCA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc47E35522,LA MUCHALA,-6.47998,-79.22406,1707,1723.2283935546875,-16.2283935546875,Consistente,CAJAMARCA,maestra,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc472C92CA,CASCABAMBA,-7.38407,-78.72682,3381,3377.73388671875,3.26611328125,Consistente,CAJAMARCA,maestra,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc4727470A,PUENTE CHILETE,-7.21968,-78.83798,854,845.3115234375,8.6884765625,Consistente,CAJAMARCA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc472C81BC,GUZMANGO,-7.38133,-78.9033,2471,2469.615234375,1.384765625,Consistente,CAJAMARCA,maestra,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc00109091,SAUCEPAMPA,-9.0309,-77.7763,2675,2671.046142578125,3.953857421875,Consistente,ANCASH,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472182DA,PUENTE CAHUA,-10.60597,-77.34388,809,803.1782836914062,5.82171630859375,Consistente,ANCASH,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc47E360B8,PATAHUASI,-16.05542,-71.41481,4017,4017.637451171875,-0.637451171875,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00116081,YURA,-16.30271,-71.62395,2646,2645.83740234375,0.16259765625,Consistente,,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc47E27134,SOCOSANI,-16.25944,-71.72056,2321,2336.284912109375,-15.284912109375,Consistente,AREQUIPA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00116084,CAMANA,-16.64395,-72.70432,8,7.177622318267822,0.8223776817321777,Consistente,AREQUIPA,maestra,COSTA SUR,CO_3,80,150,70,120
qc4724966C,SAYAN,-11.13472,-77.19833,650,649.1962890625,0.8037109375,Consistente,LIMA,maestra,COSTA CENTRO,CO_2,80,150,60,100
qc00110145,OYON,-10.66769,-76.7687,3676,3653.90283203125,22.09716796875,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc472364DC,CARANIA,-12.3444,-75.87215,3820,3829.355224609375,-9.355224609375,Consistente,LIMA,maestra,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc47252718,ENAPU PERU,-3.72722,-73.23694,126,79.0,47.0,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00104112,SAN REGIS,-4.51301,-73.90751,92,92.0,0.0,Consistente,,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc4727547C,CABALLOCOCHA,-3.91125,-70.51206,75,76.0027847290039,-1.0027847290039062,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc47288486,PEBAS,-3.31791,-71.85962,101,100.92172241210938,0.078277587890625,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc47287402,CONTAMANA,-7.35254,-75.00632,185,171.22715759277344,13.772842407226562,Consistente,LORETO,maestra,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00260700,BILINGURSTH,-12.56083,-69.18949,181,180.77139282226562,0.228607177734375,Consistente,,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc00260403,CACHUELA,-12.60442,-69.18304,196,195.59730529785156,0.4026947021484375,Consistente,,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc00260402,PUENTE HERRERA,-12.61361,-69.19413,175,175.08334350585938,-0.083343505859375,Consistente,,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc00260002,TAMBOPATA,-12.5925,-69.17529,1325,195.9589080810547,1129.0410919189453,Sospechosa,PUNO,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc00112279,PUERTO MALDONADO,-12.5873,-69.2088,204,204.1356964111328,-0.1356964111328125,Consistente,,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc47E8336C,MALINOWSKY,-12.93411,-69.5175,195,208.10260009765625,-13.10260009765625,Consistente,MADRE DE DIOS,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc47E8201A,SALVACION,-12.8312,-71.36446,531,524.6009521484375,6.3990478515625,Consistente,MADRE DE DIOS,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc472587E0,IÑAPARI,-10.95589,-69.578,245,245.66952514648438,-0.669525146484375,Consistente,MADRE DE DIOS,maestra,SELVA SUR BAJA,SE_3B,80,150,60,100
qc4723F1BE,MOQUEGUA,-17.17874,-70.93267,1446,1437.330322265625,8.669677734375,Consistente,MOQUEGUA,maestra,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00110137,12 DE OCTUBRE,-10.60641,-76.52927,3848,3857.259521484375,-9.259521484375,Consistente,PASCO,maestra,SIERRA CENTRAL ORIENTAL,SI_2OR,100,200,10,20
qc4725D79C,OXAPAMPA,-10.59417,-75.38417,1850,1839.3153076171875,10.6846923828125,Consistente,PASCO,maestra,SELVA CENTRAL ALTA,SE_2A,100,200,30,60
qc00109093,PUERTO BERMUDEZ,-10.28619,-74.94356,252,276.9219970703125,-24.9219970703125,Consistente,PASCO,maestra,SELVA CENTRAL BAJA,SE_2B,100,200,40,80
qc00210503,PUENTE EGUIGUREN,-5.18792,-80.625,34,34.347511291503906,-0.34751129150390625,Consistente,,maestra,COSTA NORTE,CO_1,80,150,70,120
qc00105112,MIRAFLORES,-5.17528,-80.61654,34,31.652759552001953,2.347240447998047,Consistente,PIURA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc00105143,SAN MIGUEL,-5.24619,-80.68425,25,25.402355194091797,-0.4023551940917969,Consistente,,maestra,COSTA NORTE,CO_1,80,150,70,120
qc00104113,PARTIDOR,-4.73197,-80.27978,218,218.396484375,-0.396484375,Consistente,PIURA,maestra,COSTA NORTE,CO_1,80,150,70,120
qc47E0F2D4,LAGARTERA,-4.7285,-80.06956,420,457.9913024902344,-37.991302490234375,Consistente,PIURA,maestra,COSTA NORTE,CO_1,80,150,70,120
