cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00230931,PUENTE BREÑA,JUNIN,SIERRA CENTRAL ORIENTAL,12.347,17.0,True,True,,,,3202.0,False
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112056,HUAYAO,JUNIN,SIERRA CENTRAL ORIENTAL,16.544,131.0,True,True,,,,3316.0,False
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112083,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,17.138,104.0,True,True,,,,3289.0,False
qc00000608,VIQUES,JUNIN,SIERRA CENTRAL ORIENTAL,qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,17.741,117.0,True,True,,,,3302.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00151213,SHEQUE,LIMA,SIERRA CENTRAL OCCIDENTAL,22.337,388.0,True,True,0.2045,0.00027,,3188.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00111057,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,3.296,0.0,True,True,,,,2800.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00000547,CANTA,LIMA,SIERRA CENTRAL OCCIDENTAL,18.166,18.0,True,True,,,,2818.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00111026,CANTA,LIMA,SIERRA CENTRAL OCCIDENTAL,18.167,18.0,True,True,,,,2818.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00202802,OBRAJILLO,LIMA,SIERRA CENTRAL OCCIDENTAL,20.17,94.0,True,True,,,,2706.0,False
qc00151204,ARAHUAY,LIMA,SIERRA CENTRAL OCCIDENTAL,qc00111159,OBRAJILLO,LIMA,SIERRA CENTRAL OCCIDENTAL,20.204,94.0,True,True,,,,2706.0,False
