estacion,cod,cod_qc,cod_ho,lat,lon,altitud,departamento
SAN ANTONIO,153314,qc00153314,ho00153314,-6.41694,-76.41694,578,SAN MARTIN
SAUCE,385,qc00000385,ho00000385,-6.69194,-76.20028,611,SAN MARTIN
JORGE BASADRE,901,qc00000901,ho00000901,-18.02689,-70.25153,548,TACNA
CALANA,807,qc00000807,ho00000807,-17.94889,-70.18611,785,TACNA
SAMA GRANDE,875,qc00000875,ho00000875,-17.78394,-70.48833,534,TACNA
TOQUELA,158325,qc00158325,ho00158325,-17.66083,-69.94889,3562,TACNA
PALCA,158321,qc00158321,ho00158321,-17.77917,-69.96583,3004,TACNA
PAUCARANI,158328,qc00158328,ho00158328,-17.525,-69.77944,4584,TACNA
LOCUMBA,853,qc00000853,ho00000853,-17.60972,-70.76222,560,TACNA
CHUAPALCA,860,qc00000860,ho00000860,-17.305,-69.64361,4177,TACNA
TARATA,877,qc00000877,ho00000877,-17.47417,-70.03389,3052,TACNA
TALABAYA,158323,qc00158323,ho00158323,-17.55917,-69.99972,2135,TACNA
SITAJARA,158318,qc00158318,ho00158318,-17.3725,-70.13556,3166,TACNA
SUSAPAYA,158317,qc00158317,ho00158317,-17.351,-70.13333,3468,TACNA
CHALLAPALCA,158327,qc00158327,ho00158327,-17.23722,-69.81306,4280,TACNA
PUERTO PIZARRO,132,qc00000132,ho00000132,-3.50556,-80.46528,7,TUMBES
EL TIGRE,151100,qc00151100,ho00151100,-3.80233,-80.45667,61,TUMBES
EL SALTO,135,qc00000135,ho00000135,-3.43361,-80.31694,6,TUMBES
MATAPALO,150112,qc00150112,ho00150112,-3.6825,-80.21525,62,TUMBES
EL MARONAL,459,qc00000459,ho00000459,-8.44999,-75.09675,175,UCAYALI
