,CODE,ESTACION,LON,LAT,ALT
94,X472D73C2,CASAPALCA,-76.23333,-11.63806,4233
95,X4725A10C,CHAVIN,-77.17529,-9.58598,3140
96,X47278214,CHOSICA,-76.68973,-11.92985,867
97,X472BD3F4,COLLAC,-76.4705,-11.36111,4493
98,X47E2323E,CUCHUANCA,-76.7881,-11.20158,2310
99,X472A218A,EMA-ANTONIO RAIMONDI,-77.15139,-11.77606,47
100,X4725F170,HUAROS,-76.56667,-11.4,3585
101,X472CE45A,MATUCANA,-76.37792,-11.83913,2417
102,X472D9030,MARCAPOMACOCHA,-76.32508,-11.40443,4447
103,X47E8C3E8,MARCAPOMACOCHA EDEGEL,-76.33118,-11.40867,4482.6
104,X472542FE,MILLOC EDEGEL,-76.35011,-11.57056,4377
105,X47E9F488,OBRAJILLO,-76.62603,-11.45481,2750
106,X47E89394,PACHACOTO,-77.40607,-9.85243,3723
107,X47E31628,PALLAC EMA,-76.80799,-11.34875,2367
108,X47E9E7FE,PATAHUAY SAPICANCHA,-76.38294,-11.342,4550
109,X47E34654,PIRCA,-76.65514,-11.23284,3342
110,X47E22148,PUENTE CALLANTAMA,-76.65701,-11.22343,2773
111,X4721725E,PUENTE MAGDALENA,-76.83728,-11.6846,935
112,X472BE66E,PUENTE SALIDA MARCAPOMACOCHA,-76.32006,-11.41256,4435
113,X47259496,RECUAY,-77.45365,-9.72919,3431
114,X472C07A8,SAN CRISTOBAL,-76.05328,-11.73986,4680
115,X472EC742,SAN MATEO DE OTAO,-76.56359,-11.84696,3513
116,X472E24B0,SANTA EULALIA,-76.66664,-11.92,970
117,X47E33064,SANTA CRUZ,-76.63487,-11.19827,3583
118,X472CA750,SANTIAGO DE TUNA,-76.52415,-11.98311,2924
119,X47E214D2,SANTO DOMINGO,-77.02833,-11.37,620
120,X4724966C,SAYAN,-77.19833,-11.13472,647
121,X472CD1C0,SHEQUE,-76.5023,-11.66095,3188
122,X472C2144,TOROCOCHA,-76.44328,-11.368,4410
123,X47E257D8,VICHAYCOCHA,-76.62455,-11.13916,3533
124,X472A0766,VILLA MARIA DEL TRIUNFO,-76.92,-12.16639,292
125,X472AC278,VON HUMBOLDT,-76.93931,-12.08221,247
126,X4726B574,YURACMAYO EDEGEL,-76.15556,-11.84056,4320
127,X472A446C,BETA SANTIAGO,-75.67022,-14.23739,386
128,X472811E4,CHALLACA,-75.39056,-13.79194,1880
129,X47284198,CHALLACA GORE,-75.40066,-13.78826,1712
130,X4728A26A,CONTA GORE,-75.97517,-13.43936,313
131,X47262016,CORA CORA,-73.77917,-15.01139,3200
132,X4728C78C,CUSICANCHA GORE,-75.3,-13.48333,2680
133,X47290068,HUAC-HUAS GORE,-74.94583,-14.12861,3080
134,X47283708,HUALLPOCA GORE,-74.95588,-14.632,683
135,X4728247E,LETRAYOC GORE,-75.71889,-13.63972,776
136,X47255188,OCUCAJE,-75.68206,-14.37839,324
137,X4725B27A,PAUCARAY,-73.63833,-14.04361,3106
138,X4720E5C6,SAN JUAN DE MARCONA,-75.15036,-15.34721,5
139,X113061,SAN PEDRO DE HUACARPANA GORE,-75.64806,-13.04889,3630
140,X4729131E,SANTIAGO DE CHOCORVOS GORE,-75.25,-13.83333,3240
141,X47E26242,BOLLADERO,-72.00886,-16.58989,994
142,X4723D752,CHIVAY,-71.60169,-15.64163,3644
143,X47E8A60E,COTACOTA,-71.38955,-15.21331,4240
144,X47280292,COTAHUASI,-72.89331,-15.21134,2683
145,X47E3903C,CRUCERO ALTO,-70.911,-15.76448,4511
146,X4729E39A,EMA PAMPA DE MAJES,-72.15266,-16.33565,1498
147,X47E3A5A6,HUANCA,-71.88108,-16.03458,3065
148,X47E3834A,IMATA,-71.09062,-15.84266,4475
149,X472A8172,LA ANGOSTURA,-71.65124,-15.18255,4258
150,X472D23BE,OCO?A,-73.1145,-16.427,23
151,X47E360B8,PATAHUASI,-71.41481,-16.05542,4035
152,X47E373CE,PILLONES,-71.21333,-15.97861,4455
153,X47E3B6D0,SAN JOSE DE UZUNA,-71.32836,-16.58103,3269
154,X47E27134,SOCOSANI,-71.72056,-16.25944,2325
155,X472ED434,SUMBAY,-71.11667,-15.81667,4403
156,X472EE1AE,TINGO GRANDE,-71.57431,-16.45992,2196
157,X114119,VISCA VISCA,-71.9787,-14.7228,4247
158,X47E2B42A,BOCATOMA EL AYRO,-69.62672,-17.57994,4258
159,X47E2C2BA,CANDARAVE,-70.25519,-17.26708,3476
160,X47E143A0,CAPLINA,-69.91656,-17.69071,3561
161,X47E13530,CERRO BLANCO,-70.15224,-17.96844,885
162,X47E195C8,CHALLATA,-70.09888,-17.8151,1482
163,X47E292C6,CHUAPALCA,-69.66186,-17.30847,4204
164,X47E1654C,CORACHAY II,-70.28831,-17.11413,4146
165,X47E1A052,CORUCA,-70.45456,-17.63312,834
166,X47E12646,LAGUNA ARICOTA,-70.30828,-17.37072,2788
167,X47E100AA,LAGUNA VILACOTA,-70.03132,-17.16475,4448
168,X4720F6B0,MATARANI,-72.10577,-17.00136,55
169,X4723F1BE,MOQUEGUA,-70.93167,-17.16917,1450
170,X47E150D6,PUENTE TALAPALCA,-70.17213,-17.47491,2177
171,X47E186BE,PUENTE VIEJO,-70.76097,-17.61756,574
172,X47E1B324,REPRESA JARUMAS,-69.94863,-17.3692,4548
173,X47E113DC,REPRESA PAUCARANI,-69.76485,-17.53886,4587
174,X47E1763A,SALIDA TUNEL KOVIRE,-70.00949,-17.23771,4356
175,X47E2D1CC,TARATA,-70.03641,-17.4791,3042
176,X47E2A75C,VILACOTA,-70.04305,-17.0788,4465
177,X4727547C,CABALLOCOCHA,-70.51206,-3.91125,107
178,X47287402,CONTAMANA,-75.00632,-7.35254,185
179,X47252718,ENAPU PERU,-73.23694,-3.72722,126
180,X47288486,PEBAS,-71.85756,-3.31453,106
181,X4724E0FC,REQUENA,-73.83612,-5.04308,109
182,X47271776,SANTA CLOTILDE,-73.67925,-2.48757,150
183,X472DC04C,CAMPANILLA,-76.65311,-7.48434,290
184,X4723013A,EL PORVENIR,-76.31834,-6.58923,225
185,X212600,HUAYABAMBA,-76.73694,-7.26861,280
186,X4724851A,NARANJILLO,-77.39328,-5.80997,882
187,X47E2E456,TOCACHE,-76.50556,-8.18111,446
188,X47E845FC,CACHICOTO,-76.35028,-9.18361,1109
189,X47E86310,CALLERIA,-74.49886,-7.89825,165
190,X472D0552,CHINCHAVITO,-75.9425,-9.515,744
191,X472DA5AA,PUENTE BELLA,-76.02778,-9.32,663
192,X47E87066,PUERTO ESPERANZA,-70.75028,-9.75028,275
193,X4727A4F8,PUERTO INCA,-74.96083,-9.38139,253
194,X472D1624,PUENTE PEREZ,-75.9825,-9.34694,644
195,X47E8568A,SANTA ANA,-75.5597,-8.4984,230
196,X472B730C,TARUCA,-76.15111,-9.84694,408
197,X47270400,TINGO MARIA,-76.00207,-9.29601,646
198,X472722EC,HUANCAVELICA,-75.01237,-12.77163,3715
199,X472DF5D6,HUAYTAPALLANA,-75.06167,-11.92667,4684
200,X472AD10E,INIA CANAAN,-74.19889,-13.16678,2780
201,X4725D79C,OXAPAMPA,-75.38417,-10.59417,1850
202,X4729D600,PAMPA CANGALLO,-74.19889,-13.56184,3315
203,X47257764,TARMA,-75.69028,-11.39694,3200
204,X47263360,ABANCAY (G. SAN ANTONIO),-72.85694,-13.60492,2795
205,X4722A338,ACJANACO,-71.61941,-13.19672,3466
206,X472B059C,ANTABAMBA,-72.85628,-14.38483,3845
207,X472976F8,CALCA,-72.95524,-13.33333,2924
208,X472A1410,CASACCANCHA,-72.29832,-13.98923,4050
209,X472B16EA,HUACULLO,-72.57275,-14.65289,4672
210,X4727C11E,HUAYLLABAMBA,-72.44881,-13.26581,3020
211,X472935F2,INTIHUATANA H,-72.56342,-13.17408,1778
212,X472852EE,INTIHUATANA M,-72.5605,-13.22431,1780
213,X472587E0,I?APARI,-69.578,-10.95589,244
214,X472897F0,MACHUPICCHU,-72.54585,-13.16655,2548
215,X47E8336C,MALINOWSKY,-69.5175,-12.93411,215
216,X4722B04E,MARCAPATA,-70.89653,-13.50411,1758
217,X472A6280,NUEVO PISAC,-71.84111,-13.4275,2971
218,X4729950A,PACAYMAYO,-72.49847,-13.23425,3606
219,X472AF7E2,PUNANQUI,-72.10047,-13.95139,2701
220,X4729867C,QORIHUAYRACHINA,-72.43383,-13.22419,1580
221,X4729B3E6,QUILLABAMBA,-72.69172,-12.85644,1011
222,X114118,SALCCA,-71.23186,-14.16994,3913
223,X4729658E,SAN PABLO,-72.61992,-13.02506,1237
224,X472AE494,SANTA ROSA CHAPIMARCA,-73.17481,-13.99183,2263
225,X4727D268,SANTA TERESA,-72.5925,-13.13194,1520
226,X4729A090,SANTO TOMAS,-72.1,-14.45,3658
227,X4726158C,SICUANI,-71.23669,-14.23736,3568
228,X47294362,SORAYPAMPA,-72.57419,-13.39471,3865
229,X4727B78E,AYAVIRI,-70.59314,-14.87183,3928
230,X472E4156,ILLPA,-70.08333,-15.68333,3827
231,X472CF72C,JULIACA,-70.17122,-15.47106,3826
232,X472E8448,LAGUNILLAS,-70.6775,-15.74562,4177
233,X472CB426,LARAQUERI,-70.04589,-16.13592,3928
234,X472E37C6,PALCA,-70.59315,-15.23587,4073
235,X472DE6A0,PAMPAHUTA,-70.67578,-15.48528,4400
236,X47251282,PUENTE CARRETERA,-69.87381,-15.25544,3812
237,X472DD33A,PUNO,-70.01208,-15.82625,3812
238,X117059,ANCOAQUE,-69.93917,-17.19972,
239,X47A00F5E,ANTIOQUIA,-76.52889,-12.06611,1415
240,X47A03AC4,AUTISHA,-76.60639,-11.73361,
